path,main_contract_name,solc_version,trans_count,enable,remark
/home/yy/Dataset/mainnet/56/56ce91f6e11d6319275f3a4abd2eb2b3df853fdd_FlixToken.sol,FlixToken,v0.4.26,573,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/65/6547df8b3b4d1b1d04128872e1411ea25ab188bd_TRAVELUS.sol,TRAVELUS,v0.4.26,129,,
/home/yy/Dataset/mainnet/7e/7e04a8c9b52f3698b3d4f660254b06ff904b48ae_UZEEToken.sol,UZEEToken,v0.4.26,17,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/18/18d70bd7bdfa7e424271fe25b527ee0250db5c90_ICOBuyer.sol,ICOBuyer,v0.4.26,27,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/3c/3c02dac293ec087ef59ee4de0f50354b0b062dd3_TruthStaking.sol,TruthStaking,v0.4.26,56,,
/home/yy/Dataset/mainnet/49/49fb8ab3fed4003c8c5805496cbc3a19760e67b1_NFT.sol,NFT,v0.4.26,4307,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/93/9329020B260A7e09A6271e0b719A2FE4bD96fA03_VenusCoin.sol,VenusCoin,v0.4.26,11,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/17/17e16d30a05324b44cf78df847137fa1220448f8_CyberChainToken.sol,CyberChainToken,v0.4.26,1483,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/89/895b47ba4a24bbeaae7aa0ea88240c79c5efff72_BCaaS.sol,BCaaS,v0.4.26,8,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/92/9285bd3d0984d2e9c8a675d5b94b234c34f8c8f0_IcoData.sol,IcoData,v0.4.26,7,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/94/94eea9a484f0bae03d19623cfe389e2cba56b72f_NZOCrowdsale.sol,NZOCrowdsale,v0.4.26,14,,
/home/yy/Dataset/mainnet/1e/1ebd04228ae2900ccad55193233492ddc3b09de9_Sales.sol,Sales,v0.4.26,14,,
/home/yy/Dataset/mainnet/69/6917d70f5622da6b4e88681892444ffdd552df5f_McFlyToken.sol,McFlyToken,v0.4.26,115,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/fe/feef9634b1a51e766fb6bda0c2448338d804045a_KBItoken.sol,KBItoken,v0.4.26,153,,
/home/yy/Dataset/mainnet/bf/bfaacfdecfbbcc7ea8c17e19c8f4f84c523267de_NokuConsumptionPlan.sol,NokuConsumptionPlan,v0.4.26,11,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/32/325c96fa60eeb3a9f88bab75278b5ff18398c919_InvestorWhiteList.sol,InvestorWhiteList,v0.4.26,6,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/d7/d7404b6b59d9e1ff9a70bec66b4c332f9f8ef7ed_AKQA.sol,AKQA,v0.4.26,7,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/c0/c0829421c1d260bd3cb3e0f06cfe2d52db2ce315_EtherToken.sol,EtherToken,v0.4.26,786,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/5f/5f6A9a1B4587759DcfEc19f6c8e207e73eD988B8_IndorseSaleContract.sol,IndorseSaleContract,v0.4.26,2585,,
/home/yy/Dataset/mainnet/f0/f083f40599741bc576173b492268972ce661e5ec_NetkillerAdvancedToken.sol,NetkillerAdvancedToken,v0.4.26,892,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/1d/1d82d930277aa71038e285a13c1a16e9c04cf0d3_CrowdsaleTokenExt.sol,CrowdsaleTokenExt,v0.4.26,9,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/73/73d0db3a1af5fae63ecec7515af0b13b2fc80e45_Multisend.sol,Multisend,v0.4.26,18,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/f4/f4ef80df1a63723cbc11e27b33fcc25a6f2b21bf_DataOracleShib.sol,DataOracleShib,v0.4.26,7,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/6a/6a02e1a01e24007c80d3c377ce8ea624bf2a22c6_Fomo60Min.sol,Fomo60Min,v0.4.26,6,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/8f/8fd41a78ab84d3f9eba301942d4d24303fab41fc_TripBitToken.sol,TripBitToken,v0.4.26,130,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/c2/c282f494a0619592a2410166dcc749155804f548_ContributionReward.sol,ContributionReward,v0.4.26,106,,
/home/yy/Dataset/mainnet/f6/f62f2d2c9b4d90a6c7e1e42c151bf54166b485f6_MockBITO.sol,MockBITO,v0.4.26,8,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/ea/ea38eaa3c86c8f9b751533ba2e562deb9acded40_FuelToken.sol,FuelToken,v0.4.26,34129,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/4f/4f411afeea9ebb9bd6a821adc105078e7bd5e688_YOLOCASH.sol,YOLOCASH,v0.4.26,36,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/e2/e2615137c379910897d4c662345a5a1d0b91f719_preSale4.sol,preSale4,v0.4.26,13,,
/home/yy/Dataset/mainnet/6c/6C6b3FD123D575cBeB1670A1fcc9c8fD603357a3_dapBetting.sol,dapBetting,v0.4.26,48,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/a0/a0acc9fe716c39a68dafb8f10c75b1276b08a17c_CTAuction.sol,CTAuction,v0.4.26,21,,
/home/yy/Dataset/mainnet/c7/c74b21fa74b6fbb7ba8aaf0d78d231642e2f8f68_AdvancePayplus.sol,AdvancePayplus,v0.4.26,159,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/97/971fdec17b5f70d98d3a1017034499cf7172d9b4_CryptonCoin.sol,CryptonCoin,v0.4.26,6,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/e9/e97e1e6bf4e91724edaca39be7524dec3276bbae_SuperiorBit.sol,SuperiorBit,v0.4.26,38,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/a6/a66b19f7de1f0c91029aaff474cd3b9652e1587c_Share.sol,Share,v0.4.26,6,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/d5/d5670cdb0d6e6d9eedfdbaceb97d5774466f0b23_YouCollectCoins.sol,YouCollectCoins,v0.4.26,104,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/e7/e736965737a317be721707d61c30b7c327f57758_Petcoin.sol,Petcoin,v0.4.26,411,,
/home/yy/Dataset/mainnet/e3/e30c76c611456f09f95d8354a6cd14aa3677d26a_TokenERC20.sol,TokenERC20,v0.4.26,6,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/25/2590e9238811b929135a406f3de5d0351cdd1bac_NbtToken.sol,NbtToken,v0.4.26,421,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/43/439dfb0b9377cafc8e997a2e7901ae4ac1105124_DSRoles.sol,DSRoles,v0.4.26,11,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/96/963d62ed58afb5701603b8d7247f423bae0deb35_ATxPlatform.sol,ATxPlatform,v0.4.26,9,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/af/af8eabf89f5664a2bc82ca415a4337821cd54d65_AFIToken.sol,AFIToken,v0.4.26,115,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/c2/c27ead2d333d73db43323ebd2d7f1dbced1ec812_ETHDividends.sol,ETHDividends,v0.4.26,13,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/31/3109d8eec2cc8727b852aeb702d5c05c6138b66e_HAICrowdsale.sol,HAICrowdsale,v0.4.26,7,0.0,fuzz出现错误
/home/yy/Dataset/mainnet/de/de2bc530e07603b52626c71768375c67f4622f7b_TokenERC20.sol,TokenERC20,v0.4.26,6,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/a4/a42bc6227dde3962a4950a59f3c2fc6233a30ed0_crowdsaleCoReferral.sol,crowdsaleCoReferral,v0.4.26,12,,
/home/yy/Dataset/mainnet/1f/1ff54baa4cfca0826e125e6e1e312a53748c2637_LimeEyes.sol,LimeEyes,v0.4.26,96,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/25/2543ca229e502b80ea1e356e4ddaebcc6e527ba0_AhieldCureToken.sol,AhieldCureToken,v0.4.26,13,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/fe/fefbc0e86baeae7de7382ebec4da739a59218472_SiringClockAuction.sol,SiringClockAuction,v0.4.26,101,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/98/9818e8cb6e8dacf9fe58ca6af90e4dee7d855b14_REOC.sol,REOC,v0.4.26,7,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/76/7602ecd2f8ec584c23fc882f1ab572df828445a9_MarketplaceV2.sol,MarketplaceV2,v0.4.26,67,0.0,fuzz出现错误
/home/yy/Dataset/mainnet/06/06f726f750dd2a140a3f3bbe1fa58b624b361a33_RajTestICO.sol,RajTestICO,v0.4.26,16,,
/home/yy/Dataset/mainnet/25/25a48cec6acd04e36388f50dc69eb4e7d7ee0fbb_GetTheJockey.sol,GetTheJockey,v0.4.26,234,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/75/750fe5a07d2fb8b8041c609479f7442771218db8_BCFToken.sol,BCFToken,v0.4.26,57,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/5a/5ab793e36070f0fac928ea15826b0c1bc5365119_YUKI.sol,YUKI,v0.4.26,8805,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/50/50f37df80a4e804a03275b21f83ebf5d5a668d39_AuctionPotato.sol,AuctionPotato,v0.4.26,63,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/a2/a2310206fd3fff0b66e03407eb03ed1ada4acecc_TokenERC20.sol,TokenERC20,v0.4.26,591,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/80/80f7fc09a7f3fa7edca847b118aaeffee2b9b43b_BUYGOODSWITHCRYPTODOTCOM.sol,BUYGOODSWITHCRYPTODOTCOM,v0.4.26,21,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/45/45ecd27a81df8ca0848cdef0b7d325ea40c581fe_HumanResourceIntegrationChain.sol,HumanResourceIntegrationChain,v0.4.26,18,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/40/4042ff0b0ff691a1549d67ede0479a1f0d12f6ba_Cosby.sol,Cosby,v0.4.26,50,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/90/90e225dfeeafc43eaa7ae54a7fee696183b8147a_AnnoConsensus.sol,AnnoConsensus,v0.4.26,7,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/1b/1b9dcdcddd2d6ca699cad9505faa363e81145c6b_BrinkToken.sol,BrinkToken,v0.4.26,159,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/df/df8ED54d46cd128Bd36EC66d1177f8FeE4e0229a_OMEC.sol,OMEC,v0.4.26,96,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/9b/9BD1C760208BFb99A82cDf3adAc09F4800db78B1_BitplusToken.sol,BitplusToken,v0.4.26,28,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/c2/c25cb249d4f6b8f2e69f58703f03e76523b081b0_RGLSToken.sol,RGLSToken,v0.4.26,450,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/7d/7d7af2744eef43e2b4831c221a96dcfe099810e2_Donate.sol,Donate,v0.4.26,334,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/7e/7ebd56cc7c1d14788ed09179f67cdcf2778c6535_JCLYLong.sol,JCLYLong,v0.4.26,5683,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/b3/b35115d4e942bf275f4343ff57c41987acc48fdf_Fortune111.sol,Fortune111,v0.4.26,16,,
/home/yy/Dataset/mainnet/1d/1db45a09efcdd8955b1c3bb855b5a8d333446bff_Share.sol,Share,v0.4.26,13,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/98/98f319d4dc58315796ec8f06274fe2d4a5a69721_TriggmineToken.sol,TriggmineToken,v0.4.26,21,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/d5/d57cf4c4f0d1f600683b45663e309a2f6da5d80b_Dsteem.sol,Dsteem,v0.4.26,9,0.0,没有依赖的合约
/home/yy/Dataset/mainnet/f1/f10996991989f595cd3836774ec36381fee46c37_CryptoCollectorContract.sol,CryptoCollectorContract,v0.4.26,122,0.0,没有依赖的合约
